date,duree_min,intensite_mm_h,flag_outlier
2004-06-03,54.0,3.333333333333333,False
2004-06-04,30.0,17.4,False
2004-06-06,24.0,19.25,False
2004-06-07,18.0,22.666666666666668,False
2004-06-09,78.0,2.0,False
2004-06-12,162.0,1.5925925925925923,False
2004-06-17,90.0,1.2,False
2004-06-21,18.0,2.3333333333333335,False
2004-06-24,84.0,9.857142857142858,False
2004-06-28,162.0,5.999999999999999,False
2004-06-30,48.0,3.125,False
2004-06-01,192.0,6.28125,False
2004-06-08,138.0,7.434782608695653,False
2004-06-11,102.0,13.23529411764706,False
2004-06-16,156.0,8.461538461538462,False
2004-06-19,84.0,2.9285714285714284,False
2004-06-20,156.0,1.6923076923076923,False
2004-06-21,72.0,35.16666666666667,False
2004-06-29,18.0,6.333333333333333,False
2004-07-03,30.0,0.4,False
2004-07-04,156.0,7.769230769230768,False
2004-07-07,42.0,8.428571428571429,False
2004-07-09,30.0,15.4,False
2004-07-10,24.0,10.249999999999998,False
2004-07-11,138.0,3.3043478260869565,False
2004-07-13,24.0,110.99999999999999,True
2004-07-17,18.0,2.3333333333333335,False
2004-07-18,18.0,2.0,False
2004-07-21,42.0,3.0000000000000004,False
2004-07-26,30.0,11.2,False
2004-07-27,48.0,2.9999999999999996,False
2004-07-28,36.0,1.5,False
2004-07-30,24.0,8.0,False
2004-07-31,258.0,1.3488372093023255,False
2004-07-02,198.0,6.7272727272727275,False
2004-07-04,102.0,0.9411764705882354,False
2004-07-05,134.0,4.835820895522388,False
2004-07-06,18.0,14.000000000000002,False
2004-07-10,18.0,7.333333333333334,False
2004-07-13,42.0,1.5714285714285716,False
2004-07-16,90.0,11.0,False
2004-07-18,258.0,3.2790697674418605,False
2004-07-20,258.0,5.162790697674419,False
2004-07-23,480.0,3.1,False
2004-07-24,204.0,6.588235294117647,False
2004-07-27,78.0,5.461538461538461,False
2004-07-29,168.0,1.0714285714285714,False
2004-07-30,114.0,1.0,False
2004-08-03,42.0,8.285714285714286,False
2004-08-05,240.0,2.575,False
2004-08-08,48.0,1.0,False
2004-08-10,48.0,12.124999999999998,False
2004-08-11,108.0,0.7222222222222222,False
2004-08-13,60.0,5.6,False
2004-08-15,108.0,12.166666666666666,False
2004-08-17,42.0,1.2857142857142858,False
2004-08-21,18.0,0.33333333333333337,False
